text,entity1,entity2,pronoun,label,use,label_tq,use_tq,
Government officials refused protestors a permit because they feared violence.,Government officials,protestors,they,0,1,0,1,
Government officials refused protestors a permit because they advocated violence.,Government officials,protestors,they,1,1,1,1,
School administrators refused Student protesters a permit because they feared violence.,School administrators,Student protesters,they,0,1,0,1,
School administrators refused Student protesters a permit because they advocated violence.,School administrators,Student protesters,they,1,1,1,1,
police officers refused protesters a permit because they feared violence.,police officers,protesters,they,0,1,0,1,
police officers refused protesters a permit because they advocated violence.,police officers,protesters,they,1,1,1,1,
Police officers refused a group of armed individuals  a permit because they feared violence.,Police officers,a group of armed individuals ,they,0,1,0,0,
Police officers refused a group of armed individuals  a permit because they advocated violence.,Police officers,a group of armed individuals ,they,1,1,1,0,Armed individual is aligned with advocating violence so the case is simple
School administrators refused Students a permit because they feared violence.,School administrators,Students,they,0,1,0,1,
School administrators refused Students a permit because they advocated violence.,School administrators,Students,they,1,1,1,1,
basketball doesn't fit into the brown backpack because it is too large.,basketball,backpack,it,0,1,0,1,
basketball doesn't fit into the brown backpack because it is too small.,basketball,backpack,it,1,1,1,1,
basketball doesn't fit into the brown suitcase because it is too large.,basketball,backpack,it,0,0,0,0,
basketball doesn't fit into the brown suitcase because it is too small.,basketball,backpack,it,1,0,1,0,
small painting doesn't fit into the brown box because it is too large.,painting,box,it,0,1,0,1,
small painting doesn't fit into the brown box because it is too small.,painting,box,it,1,1,1,1,
The coin doesn't fit into the piggy bank because it is too large.,coin,piggy bank,it,0,1,0,1,
The coin doesn't fit into the piggy bank because it is too small.,coin,piggy bank,it,1,1,1,1,
elephant doesn't fit into the brown backpack because it is too large.,elephant,backpack,it,0,0,0,0,
elephant doesn't fit into the brown backpack because it is too small.,elephant,backpack,it,1,0,1,0,
Teacher made sure to thank Student for all the help she had recieved.,Teacher,Student,she,0,1,0,1,
Teacher made sure to thank Student for all the help she had given.,Teacher,Student,she,1,1,1,1,
Teacher made sure to thank Student for all the help she had recieved.,Teacher,Student,she,0,0,0,0,
Teacher made sure to thank Student for all the help she had given.,Teacher,Student,she,1,0,1,0,
student made sure to thank teacher for all the help she had recieved.,student,teacher,she,0,1,0,1,
student made sure to thank teacher for all the help she had given.,student,teacher,she,1,0,1,0,
Students made sure to thank Teachers for all the help she had recieved.,Students,Teachers,she,0,1,0,1,
Students made sure to thank Teachers for all the help she had given.,Students,Teachers,she,1,1,1,1,
Student made sure to thank Teacher for all the help she had recieved.,Student,Teacher,she,0,0,0,0,
Student made sure to thank Teacher for all the help she had given.,Student,Teacher,she,1,0,1,0,
"Sarah tried to call John on the phone, but he wasn't successful.",Sarah,John,he,0,1,0,1,
"Sarah tried to call John on the phone, but he wasn't available.",Sarah,John,he,1,1,1,1,
"Sarah tried to call David on the phone, but he wasn't successful.",Sarah,David,he,0,1,0,1,
"Sarah tried to call David on the phone, but he wasn't available.",Sarah,David,he,1,1,1,1,
"friend tried to call colleague on the phone, but he wasn't successful.",friend,colleague,he,0,1,0,1,
"friend tried to call colleague on the phone, but he wasn't available.",friend,colleague,he,1,1,1,1,
"doctors tried to call busy executives on the phone, but he wasn't successful.",doctors,busy executives,he,0,1,0,0,
"doctors tried to call busy executives on the phone, but he wasn't available.",doctors,busy executives,he,1,1,1,0,"Busy executive indicates ""not available"""
"A teacher tried to call a student on the phone, but he wasn't successful.",A teacher,a student,he,0,1,0,1,
"A teacher tried to call a student on the phone, but he wasn't available.",A teacher,a student,he,1,1,1,1,
"teacher asked student a question, but he was reluctant to repeat it.",teacher,student,he,0,1,0,1,
"teacher asked student a question, but he was reluctant to answer it.",teacher,student,he,1,1,1,1,
"Teacher asked Student a question, but he was reluctant to repeat it.",Teacher,Student,he,0,0,0,0,
"Teacher asked Student a question, but he was reluctant to answer it.",Teacher,Student,he,1,0,1,0,
"teacher asked student a question, but he was reluctant to repeat it.",teacher,student,he,0,0,0,0,
"teacher asked student a question, but he was reluctant to answer it.",teacher,student,he,1,0,1,0,
"journalist asked politician a question, but he was reluctant to repeat it.",journalist,politician,he,0,1,0,1,
"journalist asked politician a question, but he was reluctant to answer it.",journalist,politician,he,1,1,1,1,
"Teacher asked Student a question, but he was reluctant to repeat it.",Teacher,Student,he,0,0,0,0,
"Teacher asked Student a question, but he was reluctant to answer it.",Teacher,Student,he,1,0,1,0,
minivan zoomed by race car because it was going so fast.,minivan,race car,it,0,1,0,1,
minivan zoomed by race car because it was going so slow.,minivan,race car,it,1,1,1,1,
bicycle zoomed by race car because it was going so fast.,bicycle,race car,it,0,1,0,1,
bicycle zoomed by race car because it was going so slow.,bicycle,race car,it,1,1,1,1,
